"un_country"	"year"	"source"	"n"
"113"	"argentina"	2011	"BEHANCE"	1291
"114"	"argentina"	2011	"EFLUX"	5
"115"	"argentina"	2011	"MEETUP"	43
"116"	"argentina"	2011	"TED"	14
"117"	"argentina"	2012	"ART_EDUCATION"	5
"118"	"argentina"	2012	"BEHANCE"	2649
"119"	"argentina"	2012	"EFLUX"	7
"120"	"argentina"	2012	"MEETUP"	73
"121"	"argentina"	2012	"TED"	23
"122"	"argentina"	2013	"ART_EDUCATION"	1
"123"	"argentina"	2013	"BEHANCE"	3748
"124"	"argentina"	2013	"EFLUX"	9
"125"	"argentina"	2013	"MEETUP"	126
"126"	"argentina"	2013	"TED"	26
"127"	"argentina"	2014	"ART_EDUCATION"	1
"128"	"argentina"	2014	"BEHANCE"	3833
"129"	"argentina"	2014	"EFLUX"	10
"130"	"argentina"	2014	"MEETUP"	245
"131"	"argentina"	2014	"TED"	28
"132"	"argentina"	2015	"ART_EDUCATION"	1
"133"	"argentina"	2015	"BEHANCE"	2972
"134"	"argentina"	2015	"EFLUX"	18
"135"	"argentina"	2015	"MEETUP"	518
"136"	"argentina"	2015	"TED"	35
"137"	"argentina"	2016	"ART_EDUCATION"	2
"138"	"argentina"	2016	"BEHANCE"	3335
"139"	"argentina"	2016	"EFLUX"	6
"140"	"argentina"	2016	"MEETUP"	797
"141"	"argentina"	2016	"TED"	42
"142"	"argentina"	2017	"ART_EDUCATION"	2
"143"	"argentina"	2017	"BEHANCE"	3005
"144"	"argentina"	2017	"EFLUX"	9
"145"	"argentina"	2017	"MEETUP"	791
"146"	"argentina"	2017	"TED"	46
"147"	"argentina"	2018	"ART_EDUCATION"	1
"148"	"argentina"	2018	"BEHANCE"	2765
"149"	"argentina"	2018	"EFLUX"	7
"150"	"argentina"	2018	"MEETUP"	1100
"151"	"argentina"	2018	"TED"	39
"152"	"argentina"	2019	"BEHANCE"	484
"153"	"argentina"	2019	"MEETUP"	235
"154"	"argentina"	2019	"TED"	15
"155"	"armenia"	2009	"BEHANCE"	18
"156"	"armenia"	2010	"BEHANCE"	37
"157"	"armenia"	2010	"TED"	2
"158"	"armenia"	2011	"BEHANCE"	51
"159"	"armenia"	2011	"TED"	2
"160"	"armenia"	2012	"BEHANCE"	54
"161"	"armenia"	2012	"TED"	7
"162"	"armenia"	2013	"BEHANCE"	44
"163"	"armenia"	2013	"TED"	1
"164"	"armenia"	2013	"TIMEPAD"	3
"165"	"armenia"	2014	"BEHANCE"	118
"166"	"armenia"	2014	"TED"	3
"167"	"armenia"	2014	"TIMEPAD"	5
"168"	"armenia"	2015	"BEHANCE"	156
"169"	"armenia"	2015	"TED"	3
"170"	"armenia"	2015	"TIMEPAD"	3
"171"	"armenia"	2016	"BEHANCE"	208
"172"	"armenia"	2016	"EFLUX"	1
"173"	"armenia"	2016	"TED"	11
"174"	"armenia"	2016	"TIMEPAD"	2
"175"	"armenia"	2017	"BEHANCE"	186
"176"	"armenia"	2017	"TED"	12
"177"	"armenia"	2017	"TIMEPAD"	14
"178"	"armenia"	2018	"BEHANCE"	140
"179"	"armenia"	2018	"MEETUP"	1
"180"	"armenia"	2018	"TED"	11
"181"	"armenia"	2018	"TIMEPAD"	15
"182"	"armenia"	2019	"BEHANCE"	17
"183"	"armenia"	2019	"TED"	3
"184"	"armenia"	2019	"TIMEPAD"	2
"185"	"australia"	2004	"MEETUP"	18
"186"	"australia"	2005	"MEETUP"	66
"187"	"australia"	2006	"MEETUP"	152
"188"	"australia"	2007	"BEHANCE"	10
"189"	"australia"	2007	"MEETUP"	211
"190"	"australia"	2008	"BEHANCE"	97
"191"	"australia"	2008	"MEETUP"	436
"192"	"australia"	2009	"BEHANCE"	476
"193"	"australia"	2009	"MEETUP"	976
"194"	"australia"	2009	"TED"	8
"195"	"australia"	2010	"ART_EDUCATION"	7
"196"	"australia"	2010	"BEHANCE"	876
"197"	"australia"	2010	"EFLUX"	30
"198"	"australia"	2010	"MEETUP"	1582
"199"	"australia"	2010	"TED"	28
"200"	"australia"	2011	"ART_EDUCATION"	8
"201"	"australia"	2011	"BEHANCE"	1419
"202"	"australia"	2011	"EFLUX"	20
"203"	"australia"	2011	"MEETUP"	1910
"204"	"australia"	2011	"TED"	37
"205"	"australia"	2012	"ART_EDUCATION"	5
"206"	"australia"	2012	"BEHANCE"	2440
"207"	"australia"	2012	"EFLUX"	24
"208"	"australia"	2012	"MEETUP"	3892
"209"	"australia"	2012	"TED"	33
"210"	"australia"	2013	"ART_EDUCATION"	4
"211"	"australia"	2013	"BEHANCE"	3789
"212"	"australia"	2013	"EFLUX"	36
"213"	"australia"	2013	"MEETUP"	4901
"214"	"australia"	2013	"TED"	55
"215"	"australia"	2014	"ART_EDUCATION"	5
"216"	"australia"	2014	"BEHANCE"	3042
"217"	"australia"	2014	"EFLUX"	30
"218"	"australia"	2014	"MEETUP"	5817
"219"	"australia"	2014	"TED"	42
"220"	"australia"	2015	"ART_EDUCATION"	4
"221"	"australia"	2015	"BEHANCE"	2120
"222"	"australia"	2015	"EFLUX"	28
"223"	"australia"	2015	"MEETUP"	6208
"224"	"australia"	2015	"TED"	52
"225"	"australia"	2016	"ART_EDUCATION"	4
"226"	"australia"	2016	"BEHANCE"	2274
"227"	"australia"	2016	"EFLUX"	34
"228"	"australia"	2016	"MEETUP"	6948
"229"	"australia"	2016	"TED"	45
"230"	"australia"	2017	"ART_EDUCATION"	9
"231"	"australia"	2017	"BEHANCE"	2148
"232"	"australia"	2017	"EFLUX"	35
"233"	"australia"	2017	"MEETUP"	8135
"234"	"australia"	2017	"TED"	59
"235"	"australia"	2017	"TIMEPAD"	1
"236"	"australia"	2018	"ART_EDUCATION"	6
"237"	"australia"	2018	"BEHANCE"	1936
"238"	"australia"	2018	"EFLUX"	36
"239"	"australia"	2018	"MEETUP"	11215
"240"	"australia"	2018	"TED"	48
"241"	"australia"	2019	"BEHANCE"	245
"242"	"australia"	2019	"MEETUP"	1999
"243"	"australia"	2019	"TED"	14
"244"	"austria"	2007	"BEHANCE"	1
"245"	"austria"	2008	"BEHANCE"	24
"246"	"austria"	2009	"BEHANCE"	74
"247"	"austria"	2010	"ART_EDUCATION"	2
"248"	"austria"	2010	"BEHANCE"	179
"249"	"austria"	2010	"EFLUX"	16
"250"	"austria"	2010	"MEETUP"	81
"251"	"austria"	2010	"TED"	4
"252"	"austria"	2011	"ART_EDUCATION"	9
"253"	"austria"	2011	"BEHANCE"	363
"254"	"austria"	2011	"EFLUX"	15
"255"	"austria"	2011	"MEETUP"	142
"256"	"austria"	2011	"TED"	7
"257"	"austria"	2012	"ART_EDUCATION"	10
"258"	"austria"	2012	"BEHANCE"	542
"259"	"austria"	2012	"EFLUX"	20
"260"	"austria"	2012	"MEETUP"	79
"261"	"austria"	2012	"TED"	8
"262"	"austria"	2013	"ART_EDUCATION"	1
"263"	"austria"	2013	"BEHANCE"	868
"264"	"austria"	2013	"EFLUX"	28
"265"	"austria"	2013	"MEETUP"	209
"266"	"austria"	2013	"TED"	12
"267"	"austria"	2014	"ART_EDUCATION"	5
"268"	"austria"	2014	"BEHANCE"	800
"269"	"austria"	2014	"EFLUX"	35
"270"	"austria"	2014	"MEETUP"	339
"271"	"austria"	2014	"TED"	10
"272"	"austria"	2015	"ART_EDUCATION"	2
"273"	"austria"	2015	"BEHANCE"	749
"274"	"austria"	2015	"EFLUX"	42
"275"	"austria"	2015	"MEETUP"	598
"276"	"austria"	2015	"TED"	9
"277"	"austria"	2016	"ART_EDUCATION"	3
"278"	"austria"	2016	"BEHANCE"	785
"279"	"austria"	2016	"EFLUX"	37
"280"	"austria"	2016	"MEETUP"	930
"281"	"austria"	2016	"TED"	11
"282"	"austria"	2017	"ART_EDUCATION"	5
"283"	"austria"	2017	"BEHANCE"	800
"284"	"austria"	2017	"EFLUX"	34
"285"	"austria"	2017	"MEETUP"	1342
"286"	"austria"	2017	"TED"	11
"287"	"austria"	2018	"ART_EDUCATION"	4
"288"	"austria"	2018	"BEHANCE"	626
"289"	"austria"	2018	"EFLUX"	35
"290"	"austria"	2018	"MEETUP"	1993
"291"	"austria"	2018	"TED"	12
"292"	"austria"	2019	"BEHANCE"	109
"293"	"austria"	2019	"MEETUP"	343
"294"	"austria"	2019	"TED"	8
"295"	"azerbaijan"	2009	"BEHANCE"	1
"296"	"azerbaijan"	2010	"BEHANCE"	2
"297"	"azerbaijan"	2010	"TED"	1
"298"	"azerbaijan"	2011	"BEHANCE"	10
"299"	"azerbaijan"	2011	"TED"	3
"300"	"azerbaijan"	2012	"BEHANCE"	53
"301"	"azerbaijan"	2012	"TED"	4
"302"	"azerbaijan"	2012	"TIMEPAD"	4
"303"	"azerbaijan"	2013	"BEHANCE"	97
"304"	"azerbaijan"	2013	"TED"	2
"305"	"azerbaijan"	2013	"TIMEPAD"	1
"306"	"azerbaijan"	2014	"BEHANCE"	95
"307"	"azerbaijan"	2014	"TED"	1
"308"	"azerbaijan"	2014	"TIMEPAD"	4
"309"	"azerbaijan"	2015	"BEHANCE"	126
"310"	"azerbaijan"	2015	"TED"	3
"311"	"azerbaijan"	2015	"TIMEPAD"	2
"312"	"azerbaijan"	2016	"ART_EDUCATION"	1
"313"	"azerbaijan"	2016	"BEHANCE"	100
"314"	"azerbaijan"	2016	"TED"	3
"315"	"azerbaijan"	2016	"TIMEPAD"	9
"316"	"azerbaijan"	2017	"BEHANCE"	102
"317"	"azerbaijan"	2017	"EFLUX"	1
"318"	"azerbaijan"	2017	"MEETUP"	2
"319"	"azerbaijan"	2017	"TED"	4
"320"	"azerbaijan"	2017	"TIMEPAD"	26
"321"	"azerbaijan"	2018	"BEHANCE"	101
"322"	"azerbaijan"	2018	"EFLUX"	2
"323"	"azerbaijan"	2018	"TED"	5
"324"	"azerbaijan"	2018	"TIMEPAD"	31
"325"	"azerbaijan"	2019	"BEHANCE"	17
"326"	"azerbaijan"	2019	"TIMEPAD"	7
"327"	"bahrain"	2008	"BEHANCE"	8
"328"	"bahrain"	2009	"BEHANCE"	13
"329"	"bahrain"	2010	"BEHANCE"	17
"330"	"bahrain"	2010	"TED"	2
"331"	"bahrain"	2011	"BEHANCE"	11
"332"	"bahrain"	2011	"TED"	2
"333"	"bahrain"	2012	"BEHANCE"	77
"334"	"bahrain"	2012	"MEETUP"	1
"335"	"bahrain"	2013	"BEHANCE"	74
"336"	"bahrain"	2013	"MEETUP"	1
"337"	"bahrain"	2014	"BEHANCE"	58
"338"	"bahrain"	2014	"MEETUP"	7
"339"	"bahrain"	2014	"TED"	1
"340"	"bahrain"	2015	"BEHANCE"	63
"341"	"bahrain"	2015	"MEETUP"	23
"342"	"bahrain"	2016	"BEHANCE"	45
"343"	"bahrain"	2016	"MEETUP"	22
"344"	"bahrain"	2016	"TED"	1
"345"	"bahrain"	2017	"BEHANCE"	57
"346"	"bahrain"	2017	"MEETUP"	94
"347"	"bahrain"	2017	"TED"	1
"348"	"bahrain"	2018	"BEHANCE"	23
"349"	"bahrain"	2018	"MEETUP"	205
"350"	"bahrain"	2018	"TED"	1
"351"	"bahrain"	2019	"BEHANCE"	7
"352"	"bahrain"	2019	"MEETUP"	38
"353"	"bahrain"	2019	"TED"	1
"354"	"bangladesh"	2008	"BEHANCE"	7
"355"	"bangladesh"	2009	"BEHANCE"	3
"356"	"bangladesh"	2009	"TED"	1
"357"	"bangladesh"	2010	"BEHANCE"	4
"358"	"bangladesh"	2011	"BEHANCE"	5
"359"	"bangladesh"	2011	"TED"	1
"360"	"bangladesh"	2012	"BEHANCE"	11
"361"	"bangladesh"	2012	"MEETUP"	1
"362"	"bangladesh"	2012	"TED"	4
"363"	"bangladesh"	2013	"BEHANCE"	45
"364"	"bangladesh"	2013	"TED"	3
"365"	"bangladesh"	2014	"BEHANCE"	134
"366"	"bangladesh"	2014	"EFLUX"	1
"367"	"bangladesh"	2014	"MEETUP"	5
"368"	"bangladesh"	2014	"TED"	3
"369"	"bangladesh"	2015	"BEHANCE"	149
"370"	"bangladesh"	2015	"MEETUP"	23
"371"	"bangladesh"	2015	"TED"	4
"372"	"bangladesh"	2016	"BEHANCE"	253
"373"	"bangladesh"	2016	"MEETUP"	109
"374"	"bangladesh"	2016	"TED"	4
"375"	"bangladesh"	2017	"BEHANCE"	352
"376"	"bangladesh"	2017	"EFLUX"	1
"377"	"bangladesh"	2017	"MEETUP"	123
"378"	"bangladesh"	2017	"TED"	6
"379"	"bangladesh"	2018	"BEHANCE"	265
"380"	"bangladesh"	2018	"EFLUX"	1
"381"	"bangladesh"	2018	"MEETUP"	96
"382"	"bangladesh"	2018	"TED"	7
"383"	"bangladesh"	2019	"BEHANCE"	34
"384"	"bangladesh"	2019	"MEETUP"	4
"385"	"bangladesh"	2019	"TED"	3
"386"	"barbados"	2011	"TED"	1
"387"	"barbados"	2012	"BEHANCE"	1
"388"	"barbados"	2012	"TED"	1
"389"	"barbados"	2013	"BEHANCE"	6
"390"	"barbados"	2013	"TED"	1
"391"	"barbados"	2014	"BEHANCE"	1
"392"	"barbados"	2014	"TED"	1
"393"	"barbados"	2015	"BEHANCE"	1
"394"	"barbados"	2016	"BEHANCE"	4
"395"	"barbados"	2016	"MEETUP"	1
"396"	"barbados"	2016	"TED"	1
"397"	"barbados"	2017	"BEHANCE"	3
"398"	"barbados"	2018	"MEETUP"	1
"399"	"belarus"	2008	"BEHANCE"	15
"400"	"belarus"	2009	"BEHANCE"	30
"401"	"belarus"	2010	"BEHANCE"	76
"402"	"belarus"	2010	"TED"	2
"403"	"belarus"	2011	"BEHANCE"	112
"404"	"belarus"	2011	"TED"	1
"405"	"belarus"	2012	"BEHANCE"	311
"406"	"belarus"	2012	"TIMEPAD"	92
"407"	"belarus"	2013	"BEHANCE"	619
"408"	"belarus"	2013	"TED"	1
"409"	"belarus"	2013	"TIMEPAD"	105
"410"	"belarus"	2014	"BEHANCE"	762
"411"	"belarus"	2014	"EFLUX"	1
"412"	"belarus"	2014	"TED"	3
"413"	"belarus"	2014	"TIMEPAD"	196
"414"	"belarus"	2015	"BEHANCE"	712
"415"	"belarus"	2015	"TED"	1
"416"	"belarus"	2015	"TIMEPAD"	224
"417"	"belarus"	2016	"BEHANCE"	848
"418"	"belarus"	2016	"TED"	1
"419"	"belarus"	2016	"TIMEPAD"	380
"420"	"belarus"	2017	"BEHANCE"	1062
"421"	"belarus"	2017	"TED"	2
"422"	"belarus"	2017	"TIMEPAD"	419
"423"	"belarus"	2018	"BEHANCE"	895
"424"	"belarus"	2018	"MEETUP"	1
"425"	"belarus"	2018	"TED"	6
"426"	"belarus"	2018	"TIMEPAD"	416
"427"	"belarus"	2019	"BEHANCE"	137
"428"	"belarus"	2019	"TED"	2
"429"	"belarus"	2019	"TIMEPAD"	118
"430"	"belgium"	2007	"BEHANCE"	7
"431"	"belgium"	2007	"MEETUP"	24
"432"	"belgium"	2008	"BEHANCE"	54
"433"	"belgium"	2008	"MEETUP"	83
"434"	"belgium"	2009	"BEHANCE"	126
"435"	"belgium"	2009	"MEETUP"	93
"436"	"belgium"	2009	"TED"	4
"437"	"belgium"	2010	"ART_EDUCATION"	1
"438"	"belgium"	2010	"BEHANCE"	281
"439"	"belgium"	2010	"EFLUX"	23
"440"	"belgium"	2010	"MEETUP"	89
"441"	"belgium"	2010	"TED"	7
"442"	"belgium"	2011	"BEHANCE"	544
"443"	"belgium"	2011	"EFLUX"	20
"444"	"belgium"	2011	"MEETUP"	226
"445"	"belgium"	2011	"TED"	12
"446"	"belgium"	2012	"ART_EDUCATION"	5
"447"	"belgium"	2012	"BEHANCE"	1204
"448"	"belgium"	2012	"EFLUX"	26
"449"	"belgium"	2012	"MEETUP"	317
"450"	"belgium"	2012	"TED"	24
"451"	"belgium"	2013	"ART_EDUCATION"	4
"452"	"belgium"	2013	"BEHANCE"	1531
"453"	"belgium"	2013	"EFLUX"	20
"454"	"belgium"	2013	"MEETUP"	559
"455"	"belgium"	2013	"TED"	26
"456"	"belgium"	2014	"ART_EDUCATION"	1
"457"	"belgium"	2014	"BEHANCE"	1764
"458"	"belgium"	2014	"EFLUX"	24
"459"	"belgium"	2014	"MEETUP"	1160
"460"	"belgium"	2014	"TED"	29
"461"	"belgium"	2015	"ART_EDUCATION"	2
"462"	"belgium"	2015	"BEHANCE"	1239
"463"	"belgium"	2015	"EFLUX"	25
"464"	"belgium"	2015	"MEETUP"	1604
"465"	"belgium"	2015	"TED"	17
"466"	"belgium"	2016	"ART_EDUCATION"	2
"467"	"belgium"	2016	"BEHANCE"	1344
"468"	"belgium"	2016	"EFLUX"	24
"469"	"belgium"	2016	"MEETUP"	2567
"470"	"belgium"	2016	"TED"	18
"471"	"belgium"	2017	"ART_EDUCATION"	1
"472"	"belgium"	2017	"BEHANCE"	1234
"473"	"belgium"	2017	"EFLUX"	27
"474"	"belgium"	2017	"MEETUP"	2986
"475"	"belgium"	2017	"TED"	18
"476"	"belgium"	2018	"ART_EDUCATION"	4
"477"	"belgium"	2018	"BEHANCE"	1050
"478"	"belgium"	2018	"EFLUX"	25
"479"	"belgium"	2018	"MEETUP"	3480
"480"	"belgium"	2018	"TED"	15
"481"	"belgium"	2019	"BEHANCE"	152
"482"	"belgium"	2019	"MEETUP"	565
"483"	"belgium"	2019	"TED"	10
"484"	"belize"	2011	"MEETUP"	1
"485"	"belize"	2012	"MEETUP"	3
"486"	"belize"	2014	"MEETUP"	1
"487"	"belize"	2015	"MEETUP"	2
"488"	"belize"	2015	"TED"	1
"489"	"belize"	2016	"MEETUP"	5
"490"	"belize"	2017	"MEETUP"	4
"491"	"belize"	2017	"TED"	1
"492"	"belize"	2018	"MEETUP"	2
"493"	"benin"	2012	"EFLUX"	1
"494"	"benin"	2014	"EFLUX"	1
"495"	"benin"	2017	"TED"	2
"496"	"benin"	2018	"MEETUP"	10
"497"	"benin"	2018	"TED"	1
"498"	"bhutan"	2011	"TED"	1
"499"	"bhutan"	2014	"TED"	1
"500"	"bhutan"	2015	"MEETUP"	1
"501"	"bhutan"	2015	"TED"	2
"502"	"bhutan"	2016	"MEETUP"	6
"503"	"bhutan"	2017	"MEETUP"	5
"504"	"bhutan"	2018	"MEETUP"	2
"505"	"bolivia"	2008	"BEHANCE"	6
"506"	"bolivia"	2009	"BEHANCE"	2
"507"	"bolivia"	2009	"TED"	1
"508"	"bolivia"	2010	"TED"	1
"509"	"bolivia"	2011	"BEHANCE"	7
"510"	"bolivia"	2012	"BEHANCE"	6
"511"	"bolivia"	2012	"TED"	1
"512"	"bolivia"	2013	"BEHANCE"	33
"513"	"bolivia"	2013	"TED"	2
"514"	"bolivia"	2014	"BEHANCE"	18
"515"	"bolivia"	2014	"TED"	1
"516"	"bolivia"	2015	"BEHANCE"	27
"517"	"bolivia"	2016	"BEHANCE"	29
"518"	"bolivia"	2016	"TED"	5
"519"	"bolivia"	2017	"BEHANCE"	35
"520"	"bolivia"	2017	"MEETUP"	1
"521"	"bolivia"	2017	"TED"	7
"522"	"bolivia"	2018	"BEHANCE"	28
"523"	"bolivia"	2018	"TED"	12
"524"	"bolivia"	2019	"BEHANCE"	3
"525"	"bolivia"	2019	"TED"	1
"526"	"bosnia and herzegovina"	2008	"BEHANCE"	3
"527"	"bosnia and herzegovina"	2009	"BEHANCE"	7
"528"	"bosnia and herzegovina"	2010	"BEHANCE"	23
"529"	"bosnia and herzegovina"	2010	"TED"	1
"530"	"bosnia and herzegovina"	2011	"BEHANCE"	28
"531"	"bosnia and herzegovina"	2011	"TED"	1
"532"	"bosnia and herzegovina"	2012	"BEHANCE"	71
"533"	"bosnia and herzegovina"	2012	"TED"	1
"534"	"bosnia and herzegovina"	2013	"BEHANCE"	155
"535"	"bosnia and herzegovina"	2013	"TED"	4
"536"	"bosnia and herzegovina"	2014	"BEHANCE"	100
"537"	"bosnia and herzegovina"	2014	"TED"	3
"538"	"bosnia and herzegovina"	2015	"BEHANCE"	120
"539"	"bosnia and herzegovina"	2016	"BEHANCE"	80
"540"	"bosnia and herzegovina"	2016	"TED"	1
"541"	"bosnia and herzegovina"	2017	"BEHANCE"	121
"542"	"bosnia and herzegovina"	2017	"TED"	3
"543"	"bosnia and herzegovina"	2018	"BEHANCE"	81
"544"	"bosnia and herzegovina"	2018	"MEETUP"	1
"545"	"bosnia and herzegovina"	2018	"TED"	2
"546"	"bosnia and herzegovina"	2019	"BEHANCE"	22
"547"	"bosnia and herzegovina"	2019	"TED"	1
"548"	"botswana"	2015	"BEHANCE"	3
"549"	"botswana"	2015	"TED"	1
"550"	"botswana"	2016	"BEHANCE"	3
"551"	"botswana"	2016	"MEETUP"	1
"552"	"botswana"	2017	"BEHANCE"	1
"553"	"botswana"	2017	"TED"	1
"554"	"botswana"	2018	"BEHANCE"	3
"555"	"brazil"	2007	"BEHANCE"	14
"556"	"brazil"	2008	"BEHANCE"	187
"557"	"brazil"	2009	"BEHANCE"	561
"558"	"brazil"	2009	"TED"	2
"559"	"brazil"	2010	"BEHANCE"	878
"560"	"brazil"	2010	"EFLUX"	4
"561"	"brazil"	2010	"TED"	12
"562"	"brazil"	2011	"BEHANCE"	1367
"563"	"brazil"	2011	"EFLUX"	6
"564"	"brazil"	2011	"TED"	46
"565"	"brazil"	2012	"BEHANCE"	2806
"566"	"brazil"	2012	"EFLUX"	4
"567"	"brazil"	2012	"MEETUP"	14
"568"	"brazil"	2012	"TED"	76
"569"	"brazil"	2013	"ART_EDUCATION"	1
"570"	"brazil"	2013	"BEHANCE"	4901
"571"	"brazil"	2013	"EFLUX"	11
"572"	"brazil"	2013	"MEETUP"	100
"573"	"brazil"	2013	"TED"	79
"574"	"brazil"	2014	"ART_EDUCATION"	1
"575"	"brazil"	2014	"BEHANCE"	6003
"576"	"brazil"	2014	"EFLUX"	6
"577"	"brazil"	2014	"MEETUP"	538
"578"	"brazil"	2014	"TED"	42
"579"	"brazil"	2015	"ART_EDUCATION"	1
"580"	"brazil"	2015	"BEHANCE"	5122
"581"	"brazil"	2015	"EFLUX"	3
"582"	"brazil"	2015	"MEETUP"	946
"583"	"brazil"	2015	"TED"	54
"584"	"brazil"	2016	"BEHANCE"	5871
"585"	"brazil"	2016	"EFLUX"	5
"586"	"brazil"	2016	"MEETUP"	1809
"587"	"brazil"	2016	"TED"	74
"588"	"brazil"	2017	"ART_EDUCATION"	1
"589"	"brazil"	2017	"BEHANCE"	5627
"590"	"brazil"	2017	"EFLUX"	5
"591"	"brazil"	2017	"MEETUP"	2735
"592"	"brazil"	2017	"TED"	76
"593"	"brazil"	2018	"BEHANCE"	4938
"594"	"brazil"	2018	"EFLUX"	12
"595"	"brazil"	2018	"MEETUP"	4143
"596"	"brazil"	2018	"TED"	73
"597"	"brazil"	2019	"BEHANCE"	867
"598"	"brazil"	2019	"MEETUP"	786
"599"	"brazil"	2019	"TED"	31
"600"	"brunei"	2012	"BEHANCE"	3
"601"	"brunei"	2014	"TED"	1
"602"	"brunei"	2015	"BEHANCE"	1
